epoch,step,train_loss,val_ap,val_auc,val_loss
0,23,,0.3327450454235077,0.5891227126121521,0.9822524785995483
0,23,1.006605625152588,,,
1,47,,0.37435242533683777,0.6125761866569519,0.9754091501235962
1,47,0.9690359234809875,,,
2,71,,0.3946914076805115,0.6198198199272156,0.9721204042434692
2,71,0.9589018821716309,,,
3,95,,0.41312915086746216,0.6316760778427124,0.9638617634773254
3,95,0.9546544551849365,,,
4,119,,0.41286346316337585,0.6318448185920715,0.9630375504493713
4,119,0.9483613967895508,,,
5,143,,0.4171169102191925,0.63353031873703,0.9633438587188721
5,143,0.9468344449996948,,,
6,167,,0.41590434312820435,0.6356527805328369,0.9625409841537476
6,167,0.9468621611595154,,,
7,191,,0.4209674000740051,0.6405428051948547,0.9588117003440857
7,191,0.9423306584358215,,,
8,215,,0.42039769887924194,0.6420040130615234,0.9593437314033508
8,215,0.9382941126823425,,,
9,239,,0.4258381724357605,0.6434420943260193,0.9592036604881287
9,239,0.9352107048034668,,,
10,263,,0.4196375906467438,0.6431761980056763,0.9582346081733704
10,263,0.9360185861587524,,,
11,287,,0.42122483253479004,0.6419438719749451,0.9613423943519592
11,287,0.9360029697418213,,,
12,311,,0.4304099678993225,0.6449934840202332,0.9564306735992432
12,311,0.9342765808105469,,,
13,335,,0.4299941062927246,0.6449750065803528,0.9552040100097656
13,335,0.9337478280067444,,,
14,359,,0.42833948135375977,0.6440582275390625,0.9588161110877991
14,359,0.9294006824493408,,,
15,383,,0.43409013748168945,0.6462697386741638,0.95621258020401
15,383,0.9346121549606323,,,
16,407,,0.4417574107646942,0.6486280560493469,0.9537683725357056
16,407,0.9279504418373108,,,
17,431,,0.43361157178878784,0.6466789841651917,0.9562428593635559
17,431,0.9248756766319275,,,
18,455,,0.4410364627838135,0.6481702327728271,0.9521559476852417
18,455,0.9270458221435547,,,
19,479,,0.43570059537887573,0.6478604078292847,0.9534338116645813
19,479,0.9280445575714111,,,
20,503,,0.43697139620780945,0.64842689037323,0.9530091285705566
20,503,0.9291046857833862,,,
21,527,,0.439119428396225,0.6483297944068909,0.954232931137085
21,527,0.9236331582069397,,,
22,551,,0.43768978118896484,0.648160994052887,0.9517926573753357
22,551,0.9240289926528931,,,
23,575,,0.44043219089508057,0.6499505043029785,0.9541188478469849
23,575,0.9248310327529907,,,
24,599,,0.43918436765670776,0.6489563584327698,0.9544364213943481
24,599,0.9225431680679321,,,
25,623,,0.4374273717403412,0.6491389870643616,0.9535113573074341
25,623,0.9196068048477173,,,
26,647,,0.4377698302268982,0.6491366624832153,0.9542977809906006
26,647,0.9228370189666748,,,
27,671,,0.44072583317756653,0.6492730975151062,0.9528185725212097
27,671,0.920161783695221,,,
28,695,,0.4412168860435486,0.6500337719917297,0.9520118832588196
28,695,0.9169392585754395,,,
29,719,,0.4389388859272003,0.6497586369514465,0.9522333741188049
29,719,0.9205824732780457,,,
30,743,,0.4447949528694153,0.6519619822502136,0.9509318470954895
30,743,0.9176109433174133,,,
