feature,pearson_correlation
POINT_X,0.1076331101587072
LULC,0.09987408404245521
Elevation,-0.08760630638949703
TWI,0.0619126311072199
NDVI,-0.060176180399867364
Drainage_Density,-0.04816872335234249
Slope,-0.03184970534468301
Distance_to_Road,-0.02636364367310569
POINT_Y,0.024899971831274178
Precipitation,0.021419172260648687
Aspect,-0.014238340690390764
Curvature,0.009620321555925909
Distance_to_River,-0.004792850100287656
SPI,0.0034525748855462005
