feature,skewness
Curvature,-4.588747040860755
Distance_to_River,3.550838365004514
Distance_to_Road,2.834256539240664
TWI,2.1186085301340354
NDVI,-1.7895917493483848
Slope,1.7413146081426858
POINT_Y,-1.273259346607259
SPI,-0.9853740204459368
Precipitation,-0.6446857427266365
Elevation,0.38911238834824136
Drainage_Density,-0.358933782692027
LULC,0.21117151588251185
Aspect,0.06668577755453568
POINT_X,0.019464025186414317
