LULC,count,flood_rate
5.0,5816,0.40251031636863827
2.0,4552,0.15531634446397188
7.0,2878,0.2029186935371786
1.0,1404,0.2535612535612536
4.0,170,0.31176470588235294
11.0,158,0.3987341772151899
,7,0.42857142857142855
8.0,3,0.6666666666666666
