split,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier_score,log_loss,threshold,tn,fp,fn,tp
validation,0.6459830387777562,0.42197292142718906,0.6041807147673635,0.6104618095053131,0.3629737609329446,0.6240601503759399,0.4589861751152074,0.1964952332271658,0.2384611055725513,0.6695455095376099,0.49499999999999994,647,437,150,249
test,0.6113280604415063,0.37206465391489996,0.5595643294758339,0.5881289104001888,0.33464052287581697,0.649746192893401,0.44176013805004316,0.15630889474739681,0.24629295491537123,0.6854063964330523,0.49499999999999994,566,509,138,256
