feature,importance
LULC=5,0.4088172912597656
LULC=2,0.12994174659252167
LULC=7,0.07617365568876266
NDVI,0.03596413880586624
LULC=4,0.031949639320373535
LULC=1,0.030856844037771225
Precipitation,0.029393639415502548
LULC=11,0.02572607807815075
Drainage_Density,0.02368096448481083
Distance_to_Road,0.022376595064997673
Elevation,0.02080131694674492
TWI,0.01860637590289116
SPI,0.018057161942124367
Aspect_sin,0.01753474585711956
Aspect_cos,0.01733621023595333
Curvature,0.016733873635530472
Slope,0.016165804117918015
TWI_missing,0.016017712652683258
Distance_to_River,0.015466555021703243
Distance_to_Road_missing,0.015424208715558052
Precipitation_missing,0.012975380755960941
LULC_missing,0.0
LULC=8,0.0
Drainage_Density_missing,0.0
Aspect_missing,0.0
Curvature_missing,0.0
Slope_missing,0.0
NDVI_missing,0.0
Elevation_missing,0.0
Distance_to_River_missing,0.0
SPI_missing,0.0
