split,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier_score,log_loss,threshold,tn,fp,fn,tp
validation,0.6198198448149895,0.3946913953558737,0.5394470667565745,0.5836026875306347,0.3280871670702179,0.6791979949874687,0.4424489795918367,0.14927209045535111,0.24912402489408536,0.6904340792108281,0.5099999999999999,529,555,128,271
test,0.6045449179553771,0.37923137085053804,0.5357385976855004,0.5831047101876992,0.32608695652173914,0.6852791878172588,0.44189852700491,0.1484785763825317,0.24871459357375517,0.6890415156073286,0.5099999999999999,517,558,124,270
