split,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier_score,log_loss,threshold,tn,fp,fn,tp
validation,0.6501655430088136,0.4374195105076854,0.7012811867835469,0.6357048062961832,0.4497716894977169,0.49373433583959897,0.47072879330943845,0.2638342136727325,0.230725154959398,0.6530985526548592,0.6,843,241,202,197
test,0.6223137764136466,0.3793420642811419,0.6487406398910823,0.5718828945815134,0.36199095022624433,0.40609137055837563,0.3827751196172249,0.13887099244036427,0.2399526827025627,0.6717465653967654,0.6,793,282,234,160
