epoch,step,train_loss,val_ap,val_auc,val_loss
0,47,0.9938041567802428,0.3817675709724426,0.6332459449768066,0.9609359502792358
1,95,0.9490102529525756,0.4180793166160583,0.6431276798248291,0.9551552534103394
2,143,0.9437713623046876,0.4219729304313659,0.6459830403327942,0.9518452882766724
3,191,0.9372174739837646,0.4191808700561523,0.646746039390564,0.9551195502281188
4,239,0.9323000907897948,0.4253310263156891,0.6471806764602661,0.9515788555145264
5,287,0.9330822825431824,0.4242534339427948,0.6481101512908936,0.9528601765632628
6,335,0.9274483919143676,0.4235000014305115,0.6473679542541504,0.9547625184059144
7,383,0.9264878630638124,0.4237891733646393,0.6470581293106079,0.9552683234214784
8,431,0.9254125356674194,0.4195625185966491,0.6459136605262756,0.9561656713485718
9,479,0.9244924187660216,0.4175575375556946,0.6444293260574341,0.9615644216537476
10,527,0.919638454914093,0.4205472767353058,0.6469587087631226,0.9587512016296388
11,575,0.9209868907928468,0.4234957993030548,0.6468454599380493,0.9589816331863404
12,623,0.9211263656616212,0.4269363284111023,0.6475852727890015,0.9550105333328248
13,671,0.9185904264450072,0.4269840121269226,0.6481772065162659,0.9591776728630066
14,719,0.921945095062256,0.4267579615116119,0.649111270904541,0.9571990966796876
15,767,0.9202237725257874,0.4272660315036773,0.6447969675064087,0.9600743055343628
16,815,0.9191696643829346,0.4292316734790802,0.6441056728363037,0.961539626121521
17,863,0.9185932874679564,0.4283278286457062,0.6482812166213989,0.9584831595420836
18,911,0.9174413681030272,0.4317512512207031,0.6459645628929138,0.9582087397575378
19,959,0.917250633239746,0.4359298348426819,0.646544873714447,0.9605336785316468
20,1007,0.918280303478241,0.4340133965015411,0.646094024181366,0.9604191184043884
21,1055,0.9141371250152588,0.4365676045417785,0.648160994052887,0.9603226184844972
22,1103,0.9138800501823424,0.4357952773571014,0.6483343839645386,0.9614197015762328
23,1151,0.9139594435691832,0.4367079734802246,0.6478835344314575,0.9591954946517944
24,1199,0.9163556098937988,0.4393609762191772,0.6489031910896301,0.9573670029640198
25,1247,0.9114267826080322,0.4398075342178345,0.6492407321929932,0.9560799598693848
26,1295,0.907271444797516,0.4389865100383758,0.6486742496490479,0.9613043665885924
27,1343,0.9119471311569214,0.4360454678535461,0.6453009843826294,0.96089768409729
28,1391,0.9088757634162904,0.4360236525535583,0.6480361223220825,0.9590502381324768
29,1439,0.912865400314331,0.4387890696525574,0.6476130485534668,0.960892379283905
30,1487,0.9083011150360109,0.437050312757492,0.6463691592216492,0.9635964632034302
31,1535,0.9065842032432556,0.4339934587478637,0.646778404712677,0.9628956317901612
32,1583,0.9118887782096864,0.4340498149394989,0.644325315952301,0.9652274250984192
33,1631,0.906481146812439,0.4359100759029388,0.6459922790527344,0.9654495716094972
34,1679,0.9125310182571412,0.4352469146251678,0.6456408500671387,0.9585900902748108
35,1727,0.912521243095398,0.434163361787796,0.6449680328369141,0.958460807800293
36,1775,0.9099107980728148,0.4317634105682373,0.6427415609359741,0.9601624608039856
