epoch,step,train_loss,val_ap,val_auc,val_loss
0,47,,0.33301830291748047,0.5866904258728027,0.9857491254806519
0,47,0.9968348741531372,,,
1,95,,0.3799281716346741,0.6128131747245789,0.9765651226043701
1,95,0.9682922959327698,,,
2,143,,0.39526307582855225,0.6243168115615845,0.96982342004776
2,143,0.9581016302108765,,,
3,191,,0.3969871401786804,0.6250936388969421,0.9677368998527527
3,191,0.9525145888328552,,,
4,239,,0.39520254731178284,0.6270750761032104,0.97214674949646
4,239,0.9534410834312439,,,
5,287,,0.414664089679718,0.6348389387130737,0.9620303511619568
5,287,0.9469251036643982,,,
6,335,,0.41855326294898987,0.6348759531974792,0.9614475965499878
6,335,0.9469635486602783,,,
7,383,,0.4313501715660095,0.6389936804771423,0.9596990942955017
7,383,0.9422377943992615,,,
8,431,,0.42409318685531616,0.638170599937439,0.965636670589447
8,431,0.9382728338241577,,,
9,479,,0.4234081506729126,0.638670027256012,0.9654667973518372
9,479,0.9402226209640503,,,
10,527,,0.4271518886089325,0.6392526626586914,0.9599559307098389
10,527,0.9361976981163025,,,
11,575,,0.4186485707759857,0.6401081085205078,0.961635172367096
11,575,0.9387997984886169,,,
12,623,,0.4233873188495636,0.6346308588981628,0.9694734215736389
12,623,0.9338351488113403,,,
13,671,,0.42178794741630554,0.6355094313621521,0.9637861847877502
13,671,0.9336274266242981,,,
14,719,,0.41590261459350586,0.6333153247833252,0.9688661694526672
14,719,0.9331205487251282,,,
15,767,,0.42666852474212646,0.6400410532951355,0.9630727767944336
15,767,0.9355592727661133,,,
16,815,,0.43035319447517395,0.6420664191246033,0.9573672413825989
16,815,0.9330006241798401,,,
17,863,,0.44011881947517395,0.6458882689476013,0.9549132585525513
17,863,0.938014805316925,,,
18,911,,0.4383377432823181,0.6460338830947876,0.9575443267822266
18,911,0.9328649044036865,,,
19,959,,0.43363621830940247,0.6460338830947876,0.9549242258071899
19,959,0.9301493167877197,,,
20,1007,,0.43337008357048035,0.6451507210731506,0.9546953439712524
20,1007,0.9260767698287964,,,
21,1055,,0.42615237832069397,0.6422444581985474,0.9552310705184937
21,1055,0.9304596185684204,,,
22,1103,,0.44427600502967834,0.6494072079658508,0.952363908290863
22,1103,0.9258490204811096,,,
23,1151,,0.44414302706718445,0.6517966985702515,0.9495161175727844
23,1151,0.9304043650627136,,,
24,1199,,0.4383290112018585,0.6508730053901672,0.9568402767181396
24,1199,0.9275916814804077,,,
25,1247,,0.43462997674942017,0.6477956771850586,0.9557859897613525
25,1247,0.9249041080474854,,,
26,1295,,0.43478313088417053,0.6471737623214722,0.9567025899887085
26,1295,0.9272494316101074,,,
27,1343,,0.4304647743701935,0.6460269689559937,0.9604987502098083
27,1343,0.9253041744232178,,,
28,1391,,0.43420448899269104,0.648225724697113,0.9540368914604187
28,1391,0.9234334230422974,,,
29,1439,,0.4395034611225128,0.6492407321929932,0.9566248059272766
29,1439,0.927522599697113,,,
30,1487,,0.4339102506637573,0.6482731103897095,0.9567912220954895
30,1487,0.9226612448692322,,,
31,1535,,0.43923017382621765,0.6491066217422485,0.9544310569763184
31,1535,0.922635555267334,,,
