sample_id,POINT_X,POINT_Y,observed_class,split,model,predicted_probability,predicted_class
90,287065.4941,2489757.86,1,validation,Random Forest,0.5920747221583931,1
91,289554.6803,2494046.726,1,test,Random Forest,0.29825109436277575,0
92,287856.1103,2489838.521,0,validation,Random Forest,0.6783246459483859,1
93,291303.5612,2491965.149,1,test,Random Forest,0.4498164800515833,0
94,286628.9154,2494488.639,0,train,Random Forest,0.2789222746987358,0
95,286982.0275,2491787.46,0,validation,Random Forest,0.29575343442485247,0
96,288609.3416,2490795.895,0,train,Random Forest,0.2941355619622862,0
97,289091.6379,2493195.734,0,test,Random Forest,0.4905055123482251,0
98,295305.3696,2497743.335,0,train,Random Forest,0.33587434697595847,0
99,287069.6292,2490377.136,0,validation,Random Forest,0.5930141842909886,1
100,286468.9884,2492203.698,0,train,Random Forest,0.15072448303040165,0
101,287398.2958,2495066.767,0,train,Random Forest,0.27381370620453666,0
102,289651.7269,2493114.448,0,test,Random Forest,0.4978395292427652,0
103,285159.804,2494421.609,0,train,Random Forest,0.10534571222224473,0
104,289183.0262,2494170.142,0,test,Random Forest,0.27465071895050647,0
105,288658.2366,2493386.636,1,test,Random Forest,0.4228648938130807,0
106,286640.3098,2491447.315,1,validation,Random Forest,0.6084181821655578,1
107,284999.5876,2493776.334,0,train,Random Forest,0.1432892035462701,0
108,288408.1346,2491384.324,0,validation,Random Forest,0.2988081102246455,0
109,289064.4826,2492880.411,0,test,Random Forest,0.3755134694068371,0
110,287856.529,2490263.141,0,validation,Random Forest,0.6493752985014596,1
111,288196.6247,2492847.73,1,train,Random Forest,0.6766204342874447,1
112,285427.0431,2494331.314,0,train,Random Forest,0.12377778398970331,0
113,287608.1194,2491322.414,1,validation,Random Forest,0.3023387429985011,0
114,286791.4418,2490980.667,1,validation,Random Forest,0.7027986912241443,1
115,288312.3382,2490359.864,1,validation,Random Forest,0.7237748057126676,1
116,312073.5965,2460458.868,0,train,Random Forest,0.4439187759737469,0
117,302900.9884,2447899.132,1,train,Random Forest,0.8070908909232138,1
118,304971.2091,2498138.842,0,train,Random Forest,0.4360832094444556,0
119,311601.882,2465812.77,1,train,Random Forest,0.6466629748382604,1
120,292748.517,2442110.652,0,test,Random Forest,0.2567027241258936,0
121,295041.0022,2481484.276,0,train,Random Forest,0.5688565391244453,1
122,312962.9699,2494304.16,1,train,Random Forest,0.6803757026135077,1
123,296536.1763,2467646.374,0,train,Random Forest,0.23374827416078758,0
124,310933.8704,2488157.391,1,train,Random Forest,0.7074302622649264,1
125,308383.0333,2459590.463,0,test,Random Forest,0.3106860838392891,0
126,306561.3613,2467412.959,1,validation,Random Forest,0.4444292592313748,0
127,292193.8109,2439307.105,0,test,Random Forest,0.3041677405337502,0
128,311038.271,2465871.522,0,train,Random Forest,0.6216902800623239,1
129,298604.25,2452225.658,0,train,Random Forest,0.5091552630032019,1
130,295733.2942,2454253.919,0,train,Random Forest,0.2990360510624154,0
131,309117.9835,2495115.313,0,train,Random Forest,0.36316878419305854,0
132,305822.7349,2487851.914,0,train,Random Forest,0.19900213445673612,0
133,309576.9383,2491254.063,0,train,Random Forest,0.3012196598127341,0
134,312720.2385,2493043.092,1,train,Random Forest,0.7760026912352278,1
135,298283.5998,2480966.889,0,train,Random Forest,0.34262588045559156,0
136,307786.0918,2457323.183,0,test,Random Forest,0.8120809799252642,1
137,318381.169,2495262.512,0,train,Random Forest,0.487357975445016,0
138,311572.5605,2458353.422,1,train,Random Forest,0.7781037596579966,1
139,309852.7673,2467682.253,1,train,Random Forest,0.6105540056310907,1
140,313622.0121,2496092.717,1,train,Random Forest,0.6565859111575152,1
141,308975.4634,2451327.004,0,train,Random Forest,0.18103549661390872,0
142,305463.966,2470236.644,0,validation,Random Forest,0.5740444452093153,1
143,308094.1473,2470950.912,0,validation,Random Forest,0.20295791200745059,0
144,294816.2845,2446905.599,0,test,Random Forest,0.5082650610440996,1
145,306756.8482,2472652.874,0,train,Random Forest,0.3055656386411209,0
146,311732.0258,2465737.268,1,train,Random Forest,0.7697479353104568,1
147,311274.6961,2497402.933,0,validation,Random Forest,0.4254064461568597,0
148,298702.4154,2482709.601,0,test,Random Forest,0.4892868955481368,0
149,299481.9793,2474361.187,1,train,Random Forest,0.7022333372020934,1
150,304780.7804,2447619.394,0,train,Random Forest,0.44787019150281054,0
151,294734.7278,2476245.529,0,validation,Random Forest,0.6930990402559046,1
152,310493.9133,2472674.014,0,train,Random Forest,0.27507528312953855,0
153,307152.6641,2459560.865,0,test,Random Forest,0.532762564843723,1
154,306410.8691,2451460.643,1,train,Random Forest,0.824943993729271,1
155,310032.2347,2457246.899,0,train,Random Forest,0.2708800451579409,0
156,293781.5734,2444960.078,0,test,Random Forest,0.5264165900508371,1
157,311418.131,2497448.549,1,validation,Random Forest,0.32767950249149325,0
158,308151.3667,2475044.427,0,train,Random Forest,0.22608436975115548,0
159,312124.4732,2468112.383,0,train,Random Forest,0.3984868562651739,0
160,301858.1354,2496614.469,1,train,Random Forest,0.6419322758977476,1
161,301320.5422,2469605.496,0,train,Random Forest,0.5127787321066025,1
162,306182.1328,2452068.275,1,train,Random Forest,0.8557131415392907,1
163,307931.2085,2466743.161,0,train,Random Forest,0.35415375928463383,0
164,303567.9265,2490278.966,0,train,Random Forest,0.20485296289125537,0
165,307342.0349,2495973.433,0,train,Random Forest,0.45494237216218114,0
166,298561.0805,2453352.715,0,train,Random Forest,0.43327984033971356,0
167,302325.0198,2493345.065,0,train,Random Forest,0.48132349028398136,0
168,311418.3675,2456964.58,1,train,Random Forest,0.7572003580232828,1
169,316590.8704,2493628.389,0,train,Random Forest,0.5106196318055871,1
170,302453.1415,2445093.945,0,train,Random Forest,0.32093415682395443,0
171,295694.7276,2454888.987,0,train,Random Forest,0.2491365482928857,0
172,297226.7306,2450706.732,0,test,Random Forest,0.3783403859229877,0
173,301267.3904,2463994.808,0,train,Random Forest,0.3671338062662606,0
174,307795.5281,2498085.477,0,train,Random Forest,0.46067943342721207,0
175,297785.1607,2445163.899,0,test,Random Forest,0.6980407661439574,1
176,305626.2312,2467080.517,0,validation,Random Forest,0.5726550930254338,1
177,300743.6566,2496457.453,0,train,Random Forest,0.45851888765599613,0
178,293625.6749,2485062.899,0,train,Random Forest,0.6880594849827856,1
179,308438.6517,2495232.03,0,train,Random Forest,0.3713001278481263,0
180,304393.2076,2470607.841,1,validation,Random Forest,0.5104923727623285,1
181,302768.4444,2472043.897,0,train,Random Forest,0.5682761989846699,1
182,303533.2849,2471085.775,1,train,Random Forest,0.8213309195793438,1
183,308284.6298,2494033.015,0,train,Random Forest,0.4150498133368216,0
184,308265.9716,2486047.845,0,train,Random Forest,0.22633333620124815,0
185,298286.1494,2480407.82,0,train,Random Forest,0.1112827363081493,0
186,298536.2658,2497711.871,0,train,Random Forest,0.41653921534239424,0
187,294304.7903,2439506.057,0,train,Random Forest,0.2553437619638218,0
188,298725.3728,2474468.954,0,train,Random Forest,0.4499694584855236,0
189,310409.8569,2465501.393,0,train,Random Forest,0.26712108738606893,0
190,305952.8626,2464353.441,1,train,Random Forest,0.7107221423459175,1
191,309368.4861,2470516.481,0,train,Random Forest,0.5273535002044889,1
192,298866.5086,2440192.936,0,train,Random Forest,0.4421342081631725,0
193,306736.1755,2451541.126,0,train,Random Forest,0.2959419124752799,0
194,296567.636,2497468.946,0,train,Random Forest,0.2960981266303884,0
195,299013.0747,2439798.96,0,train,Random Forest,0.6375091070918084,1
196,310466.956,2497252.789,0,validation,Random Forest,0.4883598979782105,0
197,294682.8724,2478870.842,1,train,Random Forest,0.8197842436590812,1
198,315810.4645,2493115.357,0,train,Random Forest,0.4969686440778427,0
199,312081.9557,2462619.938,1,train,Random Forest,0.8185388855348724,1
